,LotFrontage,MasVnrArea,BsmtUnfSF,HeatingQC,BsmtFullBath,HalfBath,Fireplaces,GarageCars,WoodDeckSF,AllSF,MSZoning_RL,LandContour_HLS,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_Inside,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Somerst,Neighborhood_StoneBr,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SLvl,YearBuilt_1977,RoofStyle_Hip,RoofMatl_CompShg,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_VinylSd,Foundation_PConc,BsmtQual_4.0,BsmtQual_5.0,CentralAir_Y,Electrical_SBrkr,GarageType_Attchd,GarageType_BuiltIn,GarageFinish_Fin,GarageFinish_RFn,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_New,SaleCondition_Family,SaleCondition_Normal,Id_minmax,LotArea_minmax,OverallQual_minmax,OverallCond_minmax,YearRemodAdd_minmax,BsmtExposure_minmax,BsmtFinType1_minmax,FullBath_minmax,BedroomAbvGr_minmax,OpenPorchSF_minmax,TotalBath_minmax
0,80.0,0.0,5.602118820879701,3,0.0,0,0.0,1.0,4.948759890378168,7.483806687665835,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.57,0.44,0.62,0.18,0.0,0.5,0.25,0.33,0.0,0.0
1,81.0,4.6913478822291435,6.008813185442595,3,0.0,1,0.0,1.0,5.976350909297934,7.88570539124302,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.62,0.56,0.62,0.13,0.0,0.83,0.25,0.5,0.55,0.08
2,74.0,0.0,4.927253685157205,4,0.0,1,0.6931471805599453,2.0,5.3612921657094255,7.846980982138788,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.61,0.44,0.5,0.8,0.0,1.0,0.5,0.5,0.54,0.25
3,78.0,3.044522437723423,5.783825182329737,5,0.0,1,0.6931471805599453,2.0,5.8888779583328805,7.836369760545124,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.52,0.56,0.62,0.8,0.0,1.0,0.5,0.5,0.55,0.25
4,43.0,0.0,6.925595197110468,5,0.0,0,0.0,2.0,0.0,7.848153086199526,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.34,0.78,0.5,0.7,0.0,0.83,0.5,0.33,0.67,0.17
5,75.0,0.0,6.638567789166521,4,0.0,1,0.6931471805599453,2.0,5.062595033026967,7.791109510610028,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.53,0.56,0.5,0.73,0.0,0.17,0.5,0.5,0.67,0.25
6,0.0,0.0,5.455321115357702,5,1.0,0,0.0,2.0,6.182084906716632,7.764720544771477,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.46,0.56,0.75,0.95,0.0,0.83,0.5,0.5,0.47,0.33
7,63.0,0.0,6.672032945461067,4,0.0,1,0.6931471805599453,2.0,0.0,7.720905251936779,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.48,0.56,0.5,0.8,0.0,0.17,0.5,0.5,0.66,0.25
8,85.0,0.0,6.498282149476434,4,1.0,1,0.6931471805599453,2.0,5.262690188904886,7.879291485082271,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.53,0.67,0.5,0.67,1.0,1.0,0.25,0.33,0.0,0.25
9,70.0,0.0,0.0,3,1.0,0,0.0,2.0,5.484796933490655,7.475905969367397,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.48,0.33,0.5,0.33,0.0,0.83,0.25,0.33,0.0,0.17
