,LotFrontage,MasVnrArea,BsmtUnfSF,HeatingQC,BsmtFullBath,HalfBath,GarageCars,WoodDeckSF,MSZoning_RL,LandContour_HLS,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_Inside,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Somerst,Neighborhood_StoneBr,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SLvl,YearBuilt_1977,RoofStyle_Hip,RoofMatl_CompShg,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_VinylSd,Foundation_PConc,BsmtQual_4.0,BsmtQual_5.0,CentralAir_Y,Electrical_SBrkr,GarageType_Attchd,GarageType_BuiltIn,GarageFinish_Fin,GarageFinish_RFn,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_New,SaleCondition_Family,SaleCondition_Normal,LotArea_minmax,OverallQual_minmax,OverallCond_minmax,YearRemodAdd_minmax,BsmtExposure_minmax,BsmtFinType1_minmax,FullBath_minmax,BedroomAbvGr_minmax,OpenPorchSF_minmax,TotalBath_minmax
0,65.0,5.2832037287379885,5.017279836814924,5,1,1,2,0.0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.63,0.62,0.36,0.88,0.0,1.0,0.67,0.45,0.74,0.5
1,80.0,0.0,5.652489180268651,5,0,0,2,5.700443573390687,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.67,0.5,0.87,0.43,1.0,0.83,0.67,0.45,0.0,0.2
2,68.0,5.093750200806762,6.075346031088684,5,1,1,2,0.0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.73,0.62,0.36,0.87,0.5,1.0,0.67,0.45,0.67,0.5
3,60.0,0.0,6.293419278846481,4,1,0,3,0.0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.67,0.62,0.36,0.33,0.0,0.83,0.33,0.45,0.64,0.2
4,84.0,5.860786223465865,6.19644412779452,5,1,1,3,5.262690188904886,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.82,0.75,0.36,0.83,0.79,1.0,0.67,0.64,0.79,0.5
5,85.0,0.0,4.174387269895637,5,1,1,2,3.713572066704308,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.81,0.38,0.36,0.75,0.0,1.0,0.33,0.09,0.61,0.3
6,75.0,5.231108616854587,5.762051382780177,5,1,0,2,5.545177444479562,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.69,0.75,0.36,0.92,0.79,1.0,0.67,0.45,0.72,0.4
7,0.0,5.484796933490655,5.37989735354046,5,1,1,2,5.4638318050256105,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7,0.62,0.55,0.38,0.5,0.83,0.67,0.45,0.95,0.5
8,51.0,0.0,6.859614903654202,4,0,0,2,4.51085950651685,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.51,0.62,0.36,0.0,0.0,0.17,0.67,0.27,0.0,0.2
9,50.0,0.0,4.948759890378168,5,1,0,1,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.58,0.38,0.55,0.0,0.0,1.0,0.33,0.27,0.29,0.2
10,70.0,0.0,4.90527477843843,5,1,0,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.73,0.38,0.36,0.25,0.0,0.5,0.33,0.45,0.0,0.2
11,85.0,5.659482215759621,5.181783550292085,5,1,0,3,4.997212273764115,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.75,0.88,0.36,0.93,0.0,1.0,1.0,0.64,0.55,0.6
12,0.0,0.0,5.170483995038151,3,1,0,1,4.948759890378168,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.78,0.38,0.55,0.2,0.0,0.83,0.33,0.27,0.0,0.2
